geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
26; 14; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;
27; 16; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6;
28; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
29; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;
30; 22; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;
31; 16; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;
32; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;
33; 18; 21; 8; 0.1; 0; 0; 4; 0; 0.03; 1; 1; 6;
34; 21; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;
35; 15; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;
36; 15; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;
37; 15; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;
38; 17; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;
39; 17; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;
40; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;
41; 21; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;
42; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
43; 18; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 10;
44; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
45; 18; 21; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 6;
46; 21; 18; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 6;
47; 18; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;
48; 20; 23; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 8;
49; 23; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7;
50; 19; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;
51; 19; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;
52; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
53; 20; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 10;
54; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
55; 21; 18; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 6;
56; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
57; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
58; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
59; 21; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 8;
60; 16; 16; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;
61; 16; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;
62; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
63; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;
64; 23; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6;
65; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;
66; 21; 12; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 12;
67; 12; 12; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;
68; 12; 13; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 6;
69; 13; 12; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 8;
70; 12; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 4;

